                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                              He_env_mass                       He_env_base_radius 
                                       1                  3.5156250000000005E-011                  1.0000000000000000E+000                 -1.0453997455872523E+001                  3.3298678450560182E+001                 -6.1549019599857431E+000                                      685                  0.0000000000000000E+000                  9.9999982804805543E-001                  9.9999734997432255E-001                  9.9999999999760436E-001                  9.9999999636161541E-001                  9.9999982804805543E-001                  9.9999734997432255E-001                  9.9999999999760436E-001                  9.9999999636161541E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9287707297359216E+000                 -7.3806345316333491E+001                 -9.8999999999999986E+001                 -9.9287707297359216E+000                  4.7200812175326297E+000                  4.3414179805734426E-001                 -3.6236839939100557E-001                 -2.0980877983081361E+000                  8.6340649500293978E+000                  4.3059100183958888E+008                  7.5945706369672319E+000                  7.5228055268608278E+000                  2.4664526418079092E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4659852258593486E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471772632053E-001                  3.5969116760094522E-001                  6.2545861136383760E-026                  2.4610002387261685E-017                 -2.2723959382354472E+001                 -9.9287707297359908E+000                 -7.3806345316333491E+001                 -1.5582725667402742E+003                                        6                                        3                  7.5945458201440506E+000                  7.5212347913703104E+000                  9.9920072216264089E-015                  7.9780676853746686E-003 
                                       5                  2.6161874999999993E-010                  1.0000000000000000E+000                 -1.0137272471682024E+001                  3.3298678450560182E+001                 -6.1549019599857431E+000                                      879                  0.0000000000000000E+000                  9.9999999999975875E-001                  9.9999999999971245E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                  9.9999999999975875E-001                  9.9999999999971245E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999999998779E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9288029428579776E+000                 -7.3808832516439750E+001                 -9.8999999999999986E+001                 -9.9288029428579776E+000                  4.7424016611276008E+000                  5.3327508382740219E-001                 -2.7304870735229830E-001                 -2.0980688394787239E+000                  8.6340270323705735E+000                  4.3055340916766405E+008                  7.5946507736792181E+000                  7.5230036607051272E+000                  2.4664804219673385E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4322395623765390E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621470821710222E-001                  3.5969116205031226E-001                  6.2545554378681903E-026                  1.8312257385843565E-016                 -2.2724337952132604E+001                 -9.9288029428580469E+000                 -7.3808832516439750E+001                  6.2916987514480341E-002                                        6                                        3                  7.5946258545103316E+000                  7.5214326981319575E+000                  9.9920072216264089E-015                  7.9783589708791545E-003 
                                      10                  9.1260991799999957E-010                  1.0000000000000007E+000                 -9.7413662414439006E+000                  3.3298678450560182E+001                 -6.1549019599857431E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999995348E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999995348E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999999998845E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9295365983404782E+000                 -7.3808937807927137E+001                 -9.8999999999999986E+001                 -9.9295365983404782E+000                  4.7508969595944706E+000                  5.7668293761985923E-001                 -2.3906289791659333E-001                 -2.0980665316946117E+000                  8.6340224168023489E+000                  4.3054883338289809E+008                  7.5946511042205342E+000                  7.5230110617459776E+000                  2.4664814590293748E+001                  1.7556355048126164E+000                  4.9999999999999994E-001                  1.4368990089712991E+001                  5.3364205393762333E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621468089132381E-001                  3.5969114609996117E-001                  6.2544673610425034E-026                  6.3862579534847324E-016                 -2.2724362797578340E+001                 -9.9295365983405475E+000                 -7.3808937807927137E+001                  0.0000000000000000E+000                                        6                                        3                  7.5946261870377727E+000                  7.5214401003669691E+000                  1.0103029524088925E-014                  7.9783628742054070E-003 
                                      15                  2.3492479538147160E-009                  1.0000000000000016E+000                 -9.5431016224755503E+000                  3.3298678450560182E+001                 -6.1549019599857431E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999994615E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999994615E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999999995393E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9310408922082090E+000                 -7.3808935800765539E+001                 -9.8999999999999986E+001                 -9.9310408922082090E+000                  4.7919327470545934E+000                  8.4155042002967617E-001                 -7.4919858910156026E-002                 -2.0980665871116400E+000                  8.6340225276364055E+000                  4.3054894326106113E+008                  7.5946511047493308E+000                  7.5230110617452155E+000                  2.4664814590293918E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.1313797681791855E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621462061902388E-001                  3.5969111091837053E-001                  6.2542735275259150E-026                  1.6433264890499473E-015                 -2.2724362797577509E+001                 -9.9310408922082800E+000                 -7.3808935800765539E+001                  0.0000000000000000E+000                                        6                                        3                  7.5946261870378260E+000                  7.5214401003670712E+000                  1.4432899320127035E-014                  7.9782604352304134E-003 
                                      20                  4.9063375528678082E-009                  1.0000000000000033E+000                 -9.1471953922374265E+000                  3.3298678450560182E+001                 -6.1549019599857431E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999993483E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999993483E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000033E+000                  9.9999999999993672E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9336880120056943E+000                 -7.3808919129305451E+001                 -2.5587549631438399E+001                 -9.9336880120056925E+000                  4.7806096787571182E+000                  7.5819760398286384E-001                 -1.2021759234253719E-001                 -2.0980693172328779E+000                  8.6340279878788824E+000                  4.3055435644613451E+008                  7.5946511050137522E+000                  7.5230110617448851E+000                  2.4664814590294064E+001                  1.7556355048126164E+000                  4.9999999999999994E-001                  1.4368990089712991E+001                  4.7870341591392390E-044                  1.2082748603656084E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621451351560907E-001                  3.5969104840095362E-001                  6.2539302685853125E-026                  3.4286719394363709E-015                 -2.2724362797565554E+001                 -9.9336880120057636E+000                 -7.3808919129305451E+001                  0.0000000000000000E+000                                        6                                        3                  7.5946261870378660E+000                  7.5214401003671512E+000                  1.4432899320127035E-014                  7.9782457477584508E-003 
                                      25                  1.1269194743983598E-008                  1.0000000000000078E+000                 -8.7512891619993027E+000                  3.3298678450560189E+001                 -6.1549019599857431E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999984157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999984157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000078E+000                  9.9999999999984657E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9401093233962303E+000                 -7.3808768913504309E+001                 -9.8999999999999986E+001                 -9.9401093233962303E+000                  4.7669223024212650E+000                  6.6838668092168008E-001                 -1.7497221296753238E-001                 -2.0980718748736704E+000                  8.6340331031604691E+000                  4.3055942770500159E+008                  7.5946511050136953E+000                  7.5230110617447821E+000                  2.4664814590293918E+001                  1.7556355048126164E+000                  4.9999999999999994E-001                  1.4368990089712993E+001                  4.0356385565295390E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621424829229798E-001                  3.5969089358725037E-001                  6.2530858074642609E-026                  7.8497753003368708E-015                 -2.2724362797578454E+001                 -9.9401093233963032E+000                 -7.3808768913504309E+001                  0.0000000000000000E+000                                        6                                        3                  7.5946261870378091E+000                  7.5214401003670464E+000                  1.4432899320127035E-014                  7.9782169344720620E-003 
                                      30                  2.7102019549780839E-008                  1.0000000000000189E+000                 -8.3553829317611790E+000                  3.3298678450560189E+001                 -6.1549019599857431E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999961020E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999961020E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000189E+000                  9.9999999999962186E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9551878197219139E+000                 -7.3807318705686242E+001                 -9.8999999999999986E+001                 -9.9551878197219139E+000                  4.7580157964413337E+000                  6.1573915921456890E-001                 -2.1060322566788903E-001                 -2.0980743692639856E+000                  8.6340380919411039E+000                  4.3056437360913241E+008                  7.5946511050136705E+000                  7.5230110617447465E+000                  2.4664814590293876E+001                  1.7556355048126164E+000                  4.9999999999999994E-001                  1.4368990089712991E+001                  2.6723299380745448E-044                  1.2082748603656090E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621359460303371E-001                  3.5969051202178659E-001                  6.2510404980750679E-026                  1.8746362062185231E-014                 -2.2724362797575800E+001                 -9.9551878197219885E+000                 -7.3807318705686242E+001                  0.0000000000000000E+000                                        6                                        3                  7.5946261870377816E+000                  7.5214401003669922E+000                  1.4432899320127035E-014                  7.9781849083030241E-003 
                                      35                  6.6499154170542231E-008                  1.0000000000000464E+000                 -7.9594767015230543E+000                  3.3298678450560203E+001                 -6.1549019599857431E+000                                      872                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999930544E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999930544E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000000464E+000                  9.9999999999935052E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9884977642294945E+000                 -7.3783335750918852E+001                 -9.8999999999999986E+001                 -9.9884977642294945E+000                  4.7511424788188696E+000                  5.7795892913297653E-001                 -2.3810302227957583E-001                 -2.0980776323249004E+000                  8.6340446180629460E+000                  4.3057084372743332E+008                  7.5946511050137469E+000                  7.5230110617449064E+000                  2.4664814590294093E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  1.0334356181511197E-044                  1.2082748603656102E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621199424222228E-001                  3.5968957787394423E-001                  6.2462506114735320E-026                  4.5423446538388759E-014                 -2.2724362797566279E+001                 -9.9884977642295745E+000                 -7.3783335750918852E+001                  0.0000000000000000E+000                                        6                                        3                  7.5862729027128353E+000                  6.9742250444941405E+000                  1.4432899320127035E-014                  7.9781403407946216E-003 
                                      40                  1.6453183219007515E-007                  1.0000000000001152E+000                 -7.5635704712849305E+000                  3.3298678450560232E+001                 -6.1549019599857431E+000                                      883                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999874023E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999874023E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000001152E+000                  9.9999999999883638E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0055543999369633E+001                 -7.3557034487685200E+001                 -9.8999999999999986E+001                 -1.0055543999369633E+001                  4.7411399645678536E+000                  5.2708331405693176E-001                 -2.7812073208271310E-001                 -2.0980814587244381E+000                  8.6340522708620515E+000                  4.3057843097833413E+008                  7.5946511050138099E+000                  7.5230110617450343E+000                  2.4664814590294281E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  1.6407908008056751E-045                  1.2082748603656130E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1620799920494052E-001                  3.5968724592765472E-001                  6.2357337852074199E-026                  1.1201907247922996E-013                 -2.2724362797551091E+001                 -1.0055543999369727E+001                 -7.3557034487685200E+001                  0.0000000000000000E+000                                        6                                        3                  7.5862729027129152E+000                  6.9742250444942933E+000                  1.4432899320127035E-014                  7.9780807668865215E-003 
                                      45                  4.0846850555963931E-007                  1.0000000000002860E+000                 -7.1676642410468068E+000                  3.3298678450560310E+001                 -6.1549019599857431E+000                                      888                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999836542E-001                  9.9999999999800049E-001                  9.9999999999750278E-001                  1.0000000000000000E+000                  9.9999999999836542E-001                  9.9999999999800049E-001                  9.9999999999750278E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000002860E+000                  9.9999999999778033E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0172712042132810E+001                 -7.2794672435490909E+001                 -9.8999999999999986E+001                 -1.0172712042132810E+001                  4.7337602774173781E+000                  4.9243427420351604E-001                 -3.0765172710661592E-001                 -2.0980875819354372E+000                  8.6340645172841235E+000                  4.3059057278479850E+008                  7.5946511050140932E+000                  7.5230110617456010E+000                  2.4664814590295077E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.0544909434245297E-046                  1.2082748603656197E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1619809464112307E-001                  3.5968146452707872E-001                  6.2149008105356321E-026                  2.7712792560584044E-013                 -2.2724362797489071E+001                 -1.0172712042132932E+001                 -7.2794672435490909E+001                  0.0000000000000000E+000                                        6                                        3                  7.5862729027132394E+000                  6.9742250444949097E+000                  1.4654943925052066E-014                  7.9779921144155427E-003 
                                      50                  8.6041755698135871E-007                  1.0000000000006022E+000                 -7.0727880064726634E+000                  3.3298678450560445E+001                 -6.1549019599857431E+000                                      898                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999613309E-001                  9.9999999999584055E-001                  9.9999999999509392E-001                  1.0000000000000000E+000                  9.9999999999613309E-001                  9.9999999999584055E-001                  9.9999999999509392E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0000000000006022E+000                  9.9999999999560130E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0307824162071780E+001                 -7.1922029253585393E+001                 -9.8999999999999986E+001                 -1.0307824162071780E+001                  4.7239100985017455E+000                  4.4971313113113565E-001                 -3.4706443132346321E-001                 -2.0980935762125958E+000                  8.6340765058385784E+000                  4.3060245925813603E+008                  7.5946511050145151E+000                  7.5230110617464421E+000                  2.4664814590296260E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  4.8846927991209680E-046                  1.2082748603656319E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1617962765300649E-001                  3.5967068514721867E-001                  6.1862106964594545E-026                  5.8498668717684453E-013                 -2.2724362797379271E+001                 -1.0307824162071947E+001                 -7.1922029253585393E+001                  0.0000000000000000E+000                                        7                                        3                  7.5862729027137021E+000                  6.9742250444957907E+000                  1.4432899320127035E-014                  7.9778967248402173E-003 
