                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                              He_env_mass                       He_env_base_radius 
                                       1                  1.3732910156250002E-015                  1.0000000000000000E+000                 -1.4862237421184373E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      685                  0.0000000000000000E+000                  9.9999982804805543E-001                  9.9999734997432255E-001                  9.9999999999760436E-001                  9.9999999636161541E-001                  9.9999982804805543E-001                  9.9999734997432255E-001                  9.9999999999760436E-001                  9.9999999636161541E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9287338435222754E+000                 -6.9821443124902189E+001                 -9.8999999999999986E+001                 -9.9287338435222754E+000                  4.7044340409124468E+000                  3.7587437741152868E-001                 -4.2495727824483215E-001                 -2.0980878844946829E+000                  8.6340651224024896E+000                  4.3059117274279112E+008                  7.5945706369672932E+000                  7.5228055268609477E+000                  2.4664526418079259E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712351272476036E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920267379E-001                  3.5969116846270849E-001                  6.2545908751076196E-026                  1.4057182966234799E-022                 -2.2723959382353645E+001                 -9.9287338435223447E+000                 -6.9821443124902189E+001                 -4.1059679763774745E+007                                        8                                        4                  7.5945458201441189E+000                  7.5212347913704400E+000                  9.9920072216264089E-015                  7.9780809375641238E-003 
                                       5                  1.0219482421875001E-014                  1.0000000000000000E+000                 -1.4545512436993874E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      879                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285269539926571E+000                 -6.9822985119639114E+001                 -9.8999999999999986E+001                 -9.9285269539926571E+000                  4.7090168964760348E+000                  3.9211102778084223E-001                 -4.0659094337431689E-001                 -2.0980704281866012E+000                  8.6340302097863280E+000                  4.3055655922424275E+008                  7.5946507736792226E+000                  7.5230036607051494E+000                  2.4664804219673432E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712338025761529E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920265791E-001                  3.5969116846269944E-001                  6.2545908739088518E-026                  4.0595740694170342E-022                 -2.2724337952129797E+001                 -9.9285269539927263E+000                 -6.9822985119639114E+001                  7.2221624382220939E-001                                        8                                        4                  7.5946258545103413E+000                  7.5214326981319717E+000                  9.9920072216264089E-015                  7.9784006831218248E-003 
                                      10                  3.5648824921874998E-014                  1.0000000000000000E+000                 -1.4149606206755751E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285747313336490E+000                 -6.9823025594170801E+001                 -9.8999999999999986E+001                 -9.9285747313336490E+000                  4.7090330896762804E+000                  3.9217174418293355E-001                 -4.0652370028449120E-001                 -2.0980691930421811E+000                  8.6340277394974869E+000                  4.3055411020385998E+008                  7.5946511042206186E+000                  7.5230110617461614E+000                  2.4664814590294007E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712299912940095E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920261206E-001                  3.5969116846267268E-001                  6.2545908704628649E-026                  1.1688376818345108E-021                 -2.2724362797571349E+001                 -9.9285747313337183E+000                 -6.9823025594170801E+001                  2.0388909057182573E+003                                        8                                        4                  7.5946261870378402E+000                  7.5214401003671014E+000                  9.9920072216264089E-015                  7.9784233577926862E-003 
                                      15                  9.8925166451474992E-014                  1.0000000000000000E+000                 -1.3753699976517625E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285747982463217E+000                 -6.9823025594170730E+001                 -9.8999999999999986E+001                 -9.9285747982463217E+000                  4.7090760410390784E+000                  3.9232691905063372E-001                 -4.0635189224246498E-001                 -2.0980691917467640E+000                  8.6340277369066527E+000                  4.3055410763533896E+008                  7.5946511042206044E+000                  7.5230110617461410E+000                  2.4664814590293982E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712205072726345E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920249826E-001                  3.5969116846260624E-001                  6.2545908618886736E-026                  3.0671279269525031E-021                 -2.2724362797567995E+001                 -9.9285747982463910E+000                 -6.9823025594170730E+001                  1.0889430137856411E+000                                        8                                        4                  7.5946261870378358E+000                  7.5214401003670908E+000                  9.9920072216264089E-015                  7.9784233420015713E-003 
                                      20                  2.5637695260640922E-013                  1.0000000000000000E+000                 -1.3357793746279501E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285749647460957E+000                 -6.9823025594170389E+001                 -9.8999999999999986E+001                 -9.9285749647460957E+000                  4.7091826818964249E+000                  3.9271245815935735E-001                 -4.0592532123010916E-001                 -2.0980691879552782E+000                  8.6340277293236820E+000                  4.3055410011767632E+008                  7.5946511042206097E+000                  7.5230110617461472E+000                  2.4664814590293979E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4711969080711030E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920221482E-001                  3.5969116846244081E-001                  6.2545908405533593E-026                  7.7906815065681734E-021                 -2.2724362797567085E+001                 -9.9285749647461650E+000                 -6.9823025594170389E+001                  6.0042549802774836E-001                                        8                                        4                  7.5946261870378402E+000                  7.5214401003671005E+000                  9.9920072216264089E-015                  7.9784233134435629E-003 
                                      25                  6.4816738113145504E-013                  1.0000000000000000E+000                 -1.2961887516041378E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285753790502778E+000                 -6.9823025594169394E+001                 -9.8999999999999986E+001                 -9.9285753790502778E+000                  4.7094459907250554E+000                  3.9366601741798424E-001                 -4.0487207336021874E-001                 -2.0980691816775945E+000                  8.6340277167683137E+000                  4.3055408767044240E+008                  7.5946511042206097E+000                  7.5230110617461516E+000                  2.4664814590293993E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4711381861922256E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920150972E-001                  3.5969116846202925E-001                  6.2545907874643128E-026                  1.9544394330499714E-020                 -2.2724362797564606E+001                 -9.9285753790503470E+000                 -6.9823025594169394E+001                  3.6502615105885911E-001                                        8                                        4                  7.5946261870378429E+000                  7.5214401003671050E+000                  9.9920072216264089E-015                  7.9784231834593555E-003 
                                      30                  1.6230673402388971E-012                  1.0000000000000000E+000                 -1.2565981285803254E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285764099674747E+000                 -6.9823025594155510E+001                 -9.8999999999999986E+001                 -9.9285764099674747E+000                  4.7100928928891150E+000                  3.9601858826373915E-001                 -4.0228442874391290E-001                 -2.0980691636975606E+000                  8.6340276808082468E+000                  4.3055405202008510E+008                  7.5946511042206035E+000                  7.5230110617461436E+000                  2.4664814590293972E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4709920703774333E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471919975523E-001                  3.5969116846100513E-001                  6.2545906553620177E-026                  4.8791392905022869E-020                 -2.2724362797566641E+001                 -9.9285764099675440E+000                 -6.9823025594155510E+001                  3.6175245569269304E-001                                        8                                        4                  7.5946261870378384E+000                  7.5214401003670970E+000                  9.9920072216264089E-015                  7.9784229064411138E-003 
                                      35                  4.0489304064851271E-012                  1.0000000000000000E+000                 -1.2170075055565130E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  9.9999999999975875E-001                  9.9999999999935951E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                  9.9999999999975875E-001                  9.9999999999935951E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285789751926607E+000                 -6.9823025593877603E+001                 -9.8999999999999986E+001                 -9.9285789751926607E+000                  4.7116502568457665E+000                  4.0174002973696971E-001                 -3.9605489262049193E-001                 -2.0980691235491520E+000                  8.6340276005114287E+000                  4.3055397241484451E+008                  7.5946511042205938E+000                  7.5230110617461268E+000                  2.4664814590293936E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4706285061148200E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471919538939E-001                  3.5969116845845672E-001                  6.2545903266507322E-026                  1.2156728365738229E-019                 -2.2724362797563945E+001                 -9.9285789751927318E+000                 -6.9823025593877603E+001                  3.0586315481776793E-001                                        8                                        4                  7.5946261870378340E+000                  7.5214401003670845E+000                  9.9920072216264089E-015                  7.9784221505101293E-003 
                                      40                  1.0085253991486943E-011                  1.0000000000000000E+000                 -1.1774168825327006E+001                  3.3298678450560182E+001                 -7.5228787452803374E+000                                      869                  0.0000000000000000E+000                  9.9999999999975875E-001                  9.9999999999936073E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                  9.9999999999975875E-001                  9.9999999999936073E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285853581280392E+000                 -6.9823025574308701E+001                 -9.8999999999999986E+001                 -9.9285853581280392E+000                  4.7152156029906491E+000                  4.1515156482451254E-001                 -3.8179332075802497E-001                 -2.0980690299076845E+000                  8.6340274132284929E+000                  4.3055378674498743E+008                  7.5946511042206373E+000                  7.5230110617462165E+000                  2.4664814590294064E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4697239573011607E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471918452575E-001                  3.5969116845211552E-001                  6.2545895087210333E-026                  3.0265698354035696E-019                 -2.2724362797567167E+001                 -9.9285853581281103E+000                 -6.9823025574308701E+001                  2.7257091826832824E-001                                        8                                        4                  7.5946261870378784E+000                  7.5214401003671716E+000                  9.9920072216264089E-015                  7.9784202611431852E-003 
