                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                              He_env_mass                       He_env_base_radius 
                                       1                  2.1730772139587139E-002                  1.0000000000000000E+000                 -1.6629248420179801E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      766                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999706270934574E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999706270934574E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1823233791843808E+001                 -8.5106256858272246E+001                 -2.7694759601086268E+001                 -1.1823233791843808E+001                  4.5239946132685702E+000                  6.8248598046306522E-002                 -1.1659062654155063E+000                 -2.1076835227922670E+000                  8.6532563989976587E+000                  4.5004547455396974E+008                  7.2042333632317579E+000                  7.5414318557936122E+000                  2.4688871161003465E+001                  1.7556355048126164E+000                  5.0000000000000011E-001                  1.4368990089712991E+001                  4.3677351237069756E-046                  2.7819741410665682E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1621471920267612E-001                  3.5969116846270993E-001                  3.9216909321508163E-024                  9.9337243264507758E-023                 -2.7006782854499349E+001                 -1.1823233791843808E+001                 -8.5106256858272246E+001                  9.7781868771998659E-008                                        0                                        0                  7.1974944951758584E+000                  6.6708711372099696E+000                  9.9920072216264089E-015                  7.8038742127538282E-003 
                                       5                  1.1210987583723714E-005                  1.0000000000003921E+000                 -5.6502299717500009E+000                  3.3298678450560352E+001                 -7.4559319556497234E+000                                      818                  0.0000000000000000E+000                  9.9999868709209605E-001                  9.9999830963325698E-001                  9.9999962921465169E-001                  9.9999947189626526E-001                  9.9999868709209605E-001                  9.9999830963325698E-001                  9.9999962921465169E-001                  9.9999947189626526E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000003921E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1624130621583092E+001                 -7.2533848998061615E+001                 -9.8999999999999986E+001                 -1.1624130621583092E+001                  4.6012390686174749E+000                  1.3914356499952407E-001                 -8.5653687376989451E-001                 -2.1074877376672703E+000                  8.6528648287478358E+000                  4.4963988570574141E+008                  7.2042339897902092E+000                  7.5414317058255760E+000                  2.4688870951574316E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.0117959169848872E-046                  2.7819741410626130E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1619258948533540E-001                  3.5967825110835283E-001                  4.2961330764657352E-024                  3.7393922247707907E-013                 -2.7006876826535620E+001                 -1.1624130621583092E+001                 -7.2533848998061615E+001                  0.0000000000000000E+000                                        7                                        3                  7.1974942938271793E+000                  6.6708707472607536E+000                  9.9920072216264089E-015                  7.8073426480010106E-003 
                                      10                  3.1192004913016895E-005                  1.0000000000010916E+000                 -5.2543237415118771E+000                  3.3298678450560658E+001                 -7.4559319556497234E+000                                      826                  0.0000000000000000E+000                  9.9999954780589684E-001                  9.9999950932235615E-001                  9.9999962921395313E-001                  9.9999961564523610E-001                  9.9999954780589684E-001                  9.9999950932235615E-001                  9.9999962921395313E-001                  9.9999961564523610E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000003797E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1624589972200503E+001                 -7.1019589577741655E+001                 -9.8999999999999986E+001                 -1.1624589972200503E+001                  4.5983082585482000E+000                  1.3543606554678200E-001                 -8.6826567108444963E-001                 -2.1074905161859991E+000                  8.6528703857855973E+000                  4.4964563913322937E+008                  7.2042339897907555E+000                  7.5414317058274074E+000                  2.4688870951576888E+001                  1.7556355048126164E+000                  5.0000000000000011E-001                  1.4368990089712991E+001                  4.3991118023673034E-046                  2.7819741410626165E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1615104736938220E-001                  3.5965400252784685E-001                  4.2955884300511855E-024                  1.0665183571651383E-012                 -2.7006876826262829E+001                 -1.1624589972200503E+001                 -7.1019589577741655E+001                  0.0000000000000000E+000                                        7                                        3                  7.1974942938275355E+000                  6.6708707472631330E+000                  9.9920072216264089E-015                  7.8072945732042230E-003 
                                      15                  6.0215726508476302E-005                  1.0000000000021074E+000                 -5.6797167003296671E+000                  3.3298678450561098E+001                 -7.4559319556497234E+000                                      830                  0.0000000000000000E+000                  9.9999958850891024E-001                  9.9999954780564515E-001                  1.0000000000000000E+000                  9.9999999985686605E-001                  9.9999958850891024E-001                  9.9999954780564515E-001                  1.0000000000000000E+000                  9.9999999985686605E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999985894938E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1625251416774478E+001                 -7.0169362905518966E+001                 -9.8999999999999986E+001                 -1.1625251416774478E+001                  4.6278026313489447E+000                  1.7770490389826604E-001                 -7.5030058735186966E-001                 -2.1074967199211980E+000                  8.6528827932564365E+000                  4.4965848535873294E+008                  7.2042339897915761E+000                  7.5414317058300844E+000                  2.4688870951580629E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  4.3675406834527573E-046                  2.7819741410626214E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1609071648509606E-001                  3.5961878674090259E-001                  4.2947983794298783E-024                  2.0725066320997192E-012                 -2.7006876825870084E+001                 -1.1625251416774478E+001                 -7.0169362905518966E+001                  0.0000000000000000E+000                                        9                                        3                  7.1974942938281634E+000                  6.6708707472668012E+000                  1.4432899320127035E-014                  7.8071647742822851E-003 
                                      20                  7.8885148309095596E-005                  1.0000000000027611E+000                 -5.2838104700915434E+000                  3.3298678450561383E+001                 -7.4559319556497234E+000                                      839                  0.0000000000000000E+000                  9.9999849178662881E-001                  9.9999836602403314E-001                  1.0000000000000000E+000                  9.9999999984762622E-001                  9.9999849178662881E-001                  9.9999836602403314E-001                  1.0000000000000000E+000                  9.9999999984762622E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999984992927E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1625673868580606E+001                 -6.9832143800207362E+001                 -2.7393729605422287E+001                 -1.1625673868580606E+001                  4.6255621801928060E+000                  1.7407348208838946E-001                 -7.5926738316091669E-001                 -2.1074992155134429E+000                  8.6528877844412104E+000                  4.4966365314597356E+008                  7.2042339897921099E+000                  7.5414317058318163E+000                  2.4688870951583063E+001                  1.7556355048126164E+000                  4.9999999999999994E-001                  1.4368990089712991E+001                  4.3668233890297260E-046                  2.7819741410626249E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1605095702330481E-001                  3.5959557871483072E-001                  4.2942907702910793E-024                  2.7355811094066565E-012                 -2.7006876825622573E+001                 -1.1625673868580606E+001                 -6.9832143800207362E+001                  0.0000000000000000E+000                                        9                                        3                  7.1974942938285373E+000                  6.6708707472690998E+000                  1.4654943925052066E-014                  7.8071216409474177E-003 
                                      25                  1.2534064396401264E-004                  1.0000000000043872E+000                 -4.8879042398534187E+000                  3.3298678450562086E+001                 -7.4559319556497234E+000                                      837                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999981713017E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999981713017E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999982071297E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1626713152912709E+001                 -6.9232515733557108E+001                 -2.7393729605422287E+001                 -1.1626713152912709E+001                  4.6211014879074508E+000                  1.6706271085852353E-001                 -7.7712047575342147E-001                 -2.1075043772389863E+000                  8.6528981078930034E+000                  4.4967434205963135E+008                  7.2042339897935328E+000                  7.5414317058363052E+000                  2.4688870951589347E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712993E+001                  4.3667793021955552E-046                  2.7819741410626337E-030                  3.5702984731553367E-001                  6.1888009749475359E-001                  6.1595453520922128E-001                  3.5953929626345105E-001                  4.2930299938237934E-024                  4.3439896125178839E-012                 -2.7006876824990709E+001                 -1.1626713152912709E+001                 -6.9232515733557108E+001                  0.0000000000000000E+000                                        9                                        3                  7.1974942938295730E+000                  6.6708707472750230E+000                  1.4654943925052066E-014                  7.8070320672848385E-003 
                                      30                  2.4093678291205579E-004                  1.0000000000084330E+000                 -4.4919980096152949E+000                  3.3298678450563848E+001                 -7.4559319556497234E+000                                      832                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999976215437E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999976215437E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999976793674E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1629230704601431E+001                 -6.8426365934545601E+001                 -9.8999999999999986E+001                 -1.1629230704601431E+001                  4.6132758106556588E+000                  1.5543831628874080E-001                 -8.0844191667017107E-001                 -2.1075137431937767E+000                  8.6529168398043410E+000                  4.4969373775060946E+008                  7.2042339897970136E+000                  7.5414317058473603E+000                  2.4688870951604834E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  4.3667790834865927E-046                  2.7819741410626551E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1571612979796220E-001                  3.5940013645718322E-001                  4.2899067691377037E-024                  8.3230257326869728E-012                 -2.7006876823413421E+001                 -1.1629230704601431E+001                 -6.8426365934545601E+001                  0.0000000000000000E+000                                        9                                        3                  7.1974942938321211E+000                  6.6708707472897126E+000                  1.4432899320127035E-014                  7.8068690574749876E-003 
                                      35                  5.2857696737925060E-004                  1.0000000000185005E+000                 -4.0960917793771703E+000                  3.3298678450568218E+001                 -7.4559319556497234E+000                                      833                  0.0000000000000000E+000                  9.9999911707371070E-001                  9.9999903628211317E-001                  9.9999960206052485E-001                  9.9999957619618052E-001                  9.9999911707371070E-001                  9.9999903628211317E-001                  9.9999960206052485E-001                  9.9999957619618052E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999966780706E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1635135626378394E+001                 -6.7474871886492039E+001                 -9.8999999999999986E+001                 -1.1635135626378394E+001                  4.6014953111516990E+000                  1.3944614150358489E-001                 -8.5559349822751229E-001                 -2.1075285349645281E+000                  8.6529464233502154E+000                  4.4972437131606913E+008                  7.2042339898056031E+000                  7.5414317058747304E+000                  2.4688870951643178E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  4.3667790832882395E-046                  2.7819741410627076E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1512562368266388E-001                  3.5905545167771080E-001                  4.2822170057975775E-024                  1.8192260213102709E-011                 -2.7006876819514325E+001                 -1.1635135626378396E+001                 -6.7474871886492039E+001                  0.0000000000000000E+000                                        9                                        3                  7.1974942938383331E+000                  6.6708707473260151E+000                  1.4432899320127035E-014                  7.8066107050977912E-003 
                                      40                  1.2443177911926604E-003                  1.0000000000435516E+000                 -3.7001855491390470E+000                  3.3298678450579096E+001                 -7.4559319556497234E+000                                      841                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999945897977E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999945897977E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  9.9999999949218377E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1648237568686890E+001                 -6.6453874257385337E+001                 -9.8999999999999986E+001                 -1.1648237568686890E+001                  4.5855348773907512E+000                  1.2037163487920782E-001                 -9.1947584087525158E-001                 -2.1075488387665025E+000                  8.6529870309650434E+000                  4.4976642362992281E+008                  7.2042339898270233E+000                  7.5414317059429257E+000                  2.4688870951738700E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712993E+001                  4.3667790828859480E-046                  2.7819741410628379E-030                  3.5702984731553361E-001                  6.1888009749475359E-001                  6.1367492218747133E-001                  3.5820866159036674E-001                  4.2635334386002464E-024                  4.2521328954598671E-011                 -2.7006876809790437E+001                 -1.1648237568686890E+001                 -6.6453874257385337E+001                  0.0000000000000000E+000                                        9                                        3                  7.1974942938538566E+000                  6.6708707474164735E+000                  1.4432899320127035E-014                  7.8062547294541198E-003 
